Age,Temperature
Deuterium,Temperature
,
,
,
,
,
,
,
,
,
,
,
,
-433.4,-7.63
-422.5,-5.83
-431.3,-7.28
-425.3,-6.29
-427,-6.57
-429.8,-7.03
-427.3,-6.62
-425.9,-6.39
-426,-6.41
-425.6,-6.34
-428.5,-6.82
-430.7,-7.18
-432.8,-7.53
-424.4,-6.15
-428.9,-6.89
-427.1,-6.59
-426.3,-6.46
-434.3,-7.78
-428.8,-6.87
-423.2,-5.95
-436,-8.05
-434,-7.73
-436.9,-8.20
-436,-8.05
-435.5,-7.97
-436.9,-8.20
-435.5,-7.97
-435.9,-8.03
-441.9,-9.02
-443,-9.20
-442.4,-9.10
-436.8,-8.18
-443.3,-9.24
-434.7,-7.83
-438.7,-8.48
-434.2,-7.74
-436.5,-8.12
-430.9,-7.20
-437.3,-8.25
-434.2,-7.74
-433.3,-7.59
-439.6,-8.63
-439,-8.53
-438.3,-8.41
-430.9,-7.19
-433,-7.54
-431.3,-7.26
-439.1,-8.54
-441.2,-8.89
-440.2,-8.72
-440.1,-8.70
-440.8,-8.82
-438.4,-8.42
-436.7,-8.14
-444.3,-9.39
-436.8,-8.15
-436,-8.02
-434.5,-7.77
-433.3,-7.57
-439.4,-8.58
-431.7,-7.31
-426.5,-6.45
-433.2,-7.55
-433.4,-7.58
-434.9,-7.83
-439.4,-8.57
-427.8,-6.66
-441,-8.83
-434.7,-7.79
-440.4,-8.73
-435.7,-7.95
-437.3,-8.22
-441.9,-8.97
-438.2,-8.36
-440.9,-8.80
-440.5,-8.74
-440.6,-8.75
-442.5,-9.06
-442.4,-9.04
-437.4,-8.22
-441.5,-8.89
-433.2,-7.52
-437.2,-8.18
-438.3,-8.36
-433.3,-7.54
-433.4,-7.55
-434.7,-7.77
-438.9,-8.46
-430.8,-7.12
-439.3,-8.52
-433.8,-7.61
-435.8,-7.94
-432.6,-7.41
-428.6,-6.75
-430.5,-7.07
-430.2,-7.02
-431.3,-7.20
-427.8,-6.62
-429.1,-6.83
-433.2,-7.51
-429.1,-6.83
-436.4,-8.03
-435.8,-7.93
-426.9,-6.47
-429.7,-6.93
-432.3,-7.36
-435.6,-7.90
-436.6,-8.06
-432.4,-7.37
-433.6,-7.57
-435.1,-7.81
-431.5,-7.22
-438.8,-8.42
-440.4,-8.68
-436.4,-8.02
-435.9,-7.94
-440.8,-8.74
-440.3,-8.66
-438.2,-8.31
-441.3,-8.82
-441,-8.77
-439,-8.44
-436.6,-8.04
-430.5,-7.04
-434.1,-7.63
-440.8,-8.73
-438.2,-8.30
-439.2,-8.46
-435.8,-7.90
-433.8,-7.57
-435.9,-7.92
-435.2,-7.80
-435.1,-7.78
-433.8,-7.57
-434.3,-7.65
-434.9,-7.75
-431.4,-7.17
-431.1,-7.12
-428.1,-6.62
-430.6,-7.04
